 id_culture ,,      jeune       ,    productif     ,tot_arb,vrai,carreau,densit� ha,densit� ca,carre trouv�,legumes,
------------+------------------+------------------,,,,,,,,,,,
 C1         ,,1091,15289,,,,,,,,
 C10        ,,566,2932,,,,,,,,
 C101       ,chou fleur,10191.02,30038.02,,,,5000,3850,0,,
 C11        , Céleris persil cresson,52,1403,1455,n,167.0551,30000,23100,0.062987013,o,
 C12        , laitues,64,820,884,n,408.21335,150000,115500,0.0076536797,o,
 C13        , Epinards,84,1167,1251,n,628.922,1000000,770000,0.0016246753,o,
 C14        , Lalo Liane panier,2784,43335.9999999994,46119.9999999994,a,191.3172499999,,0,#DIV/0!,,
 C15        , Autres légumes ou à tiges(Artichaut chicorée),502,2157,2659,n,16.92,5500,4235,0.627863046,o,
 C16        , Concombres,76,1862,1938,n,108.83,10000,7700,0.2516883117,o,
 C17        , Aubergines,247,8885,9132,,1192.7157999995,10000,7700,1.185974026,o,
 C18        , Tomates,678.99,2125,2803.99,,1928.6981499992,20000,15400,0.1820772727,o,
 C19        , Mirliton,6219.999999999,389181.999999998,395401.999999997,,312.0012,,0,#DIV/0!,,
 C2         , Riz,60,1213,1273,,28529.2149999859,,0,#DIV/0!,o,
 C20        , Pastèques(melon),441,1702,2143,,1714.2302499997,,0,#DIV/0!,o,
 C21        , Cantaloups melon France,28,509,537,,224.07,,0,#DIV/0!,,
 C22        , Potirons Giraumon Courgette Courge,618,3649,4267,,1432.8802999992,8000,6160,0.6926948052,,
 C23        , Combos Calalou,369,5474.9999999999,5843.9999999999,,2489.5287499988,20000,15400,0.3794805195,,
 C24        , Autres légumes à pépins(Poivron),324,756,1080,,200.53,10000,7700,0.1402597403,,
 C25        , Carottes,42,4035,4077,,2003.2892499996,400000,308000,0.013237013,c,
 C26        , Mazembelle,32,2621,2653,,476.48355,,0,#DIV/0!,,
 C27        , Betterave rouge,12,660,672,,429.315,200000,154000,0.0043636364,c,
 C28        , Ail,119,428,547,,25.015,70000,53900,0.010148423,,
 C29        , Oignons (y compris échalotes),219,1306,1525,,3008.2912499998,100000,77000,0.0198051948,,
 C3         , Sorgho,544,3849,4393,,48676.8465499736,,0,#DIV/0!,,
 C30        , Poireaux et autres légumes alliacés,398,4466,4864,,1461.775,50000,38500,0.1263376623,,
 C31        , Pomme de terre,321,7075,7396,,2171.865,20000,15400,0.4802597403,,
 C32        , Patates,1084,6985,8069,,24839.6538999981,40000,30800,0.2619805195,,
 C33        , Ignames,1630,23832.9999999998,25462.9999999998,,22706.9681499942,,0,#DIV/0!,,
 C34        , Manioc doux,704,14696.9999999999,15400.9999999999,,15640.7593999954,,0,#DIV/0!,,
 C35        , Manioc amer,1252,16860.97,18112.97,,13037.5183499993,,0,#DIV/0!,,
 C36        , Malanga Taro,1152,22215.03,23367.03,,6750.4250499994,,0,#DIV/0!,,
 C37        , Autres racines et tubercules n.c.a (Navetsradis..),340,7087.9999999995,7427.9999999995,,184.345,40000,30800,0.2411688312,,
 C38        , Champignons et truffes,1716,6447,8163,,9.65695,,0,#DIV/0!,,
 C39        , Avocats,308351.009999999,8086299.20999854,8394650.21999854,,156.1358999999,4,3.08,2725535.78571381,,
 C4         , Haricots(BeurreBlancNoir Rouge...),4841.0199999994,59328.09,64169.1099999994,,91795.5933999785,150000,115500,0.55557671,,
 C40        , Bananes et plantains,3548718,45956395.1399895,49505113.1399895,,37635.4353499976,,0,#DIV/0!,,
 C41        , Tamarin,8864,152028.089999991,160892.089999991,,94.6614,,0,#DIV/0!,,
 C42        , Guayave,25937,362160.489999707,388097.489999707,,29.415,200,,#DIV/0!,,
 C43        , Corossol,47575.9999999999,1209086.02999989,1256662.02999989,,46.1112499999,,0,#DIV/0!,,
 C44        , Cachiman (None),31753.9999999999,942033.029999968,973787.029999968,,16.7,,0,#DIV/0!,,
 C45        , Mangues francisque,50077.03,1505860.46999961,1555937.49999961,,63.3568,50,38.5,40413.9610389509,2439.2368,
 C46        , Autres mangues,431355.13,16220154.5899959,16651509.7199959,,288.61975,50,38.5,432506.74597392,11111.8603749997,
 C47        , Papayes,44257.0399999997,1103664.43999987,1147921.47999987,,181.36,,0,#DIV/0!,,
 C48        , Ananas,11322,407679.989999997,419001.989999997,,236.59,30000,23100,18.1386142857,,c
 C49        , Arbre véritable,151599.11,5880029.14999993,6031628.25999993,,112.47995,,0,#DIV/0!,,
 C5         , Pois Congo,4372,7823.9999999995,12195.9999999995,,41872.6123999745,40000,30800,0.395974026,,
 C50        , Arbre à pain,35627.03,1010618.84999998,1046245.87999998,,29.64,,0,#DIV/0!,,
 C51        , Abricots,12753,225418.02,238171.02,,14.695,,0,#DIV/0!,,
 C52        , Quenêpe,41704.0999999997,530573.499999932,572277.599999932,,27.02,,0,#DIV/0!,,
 C53        , Corombola,405,5276.9999999985,5681.9999999985,,8.75565,300,,#DIV/0!,,
 C54        , Autres fruits tropicaux et subtropicaux(Sapotille cayimitejaquierDattes jaune d'oeuf),53422.999999854,195534.999999898,248957.999999752,,12.70055,,0,#DIV/0!,,
 C55        , Pamplemousses(Chadèque),107004.99,2986534.29999992,3093539.28999992,,26.53975,,0,#DIV/0!,,
 C56        , Citrons et limes,89711.6299999991,1739108.65999995,1828820.28999995,,25.63,,0,#DIV/0!,,
 C57        , Oranges,137438,4022610.68999953,4160048.68999953,,36.2304,,0,#DIV/0!,,
 C58        , Tangerines mandarines clémentines,85390.0399999989,2433138.74999912,2518528.78999912,,27.035,,0,#DIV/0!,,
 C59        , Autres agrumes (Bigaradier...),16115,156918.04,173033.04,,2.475,,0,#DIV/0!,,
 C6         , Pois souche,273.9999999999,3178.97,3452.9699999999,,6930.3773999984,40000,30800,0.1121094156,,
 C60        , Raisins,1497,10862.0399999992,12359.0399999992,,1.535,,0,#DIV/0!,,
 C61        , Fraises,8,926,934,,4.505,20000,15400,0.0606493506,,
 C62        , Autres baies(MuresFramboises.),474,1664,2138,,0.72,,0,#DIV/0!,,
 C63        , Cerises,4148,173972.119999988,178120.119999988,,11.48,,0,#DIV/0!,,
 C64        , Pêches,9786,86156,95942,,2.68,,0,#DIV/0!,,
 C65        , Grenadine,876,23838.9999999999,24714.9999999999,,3.71,,0,#DIV/0!,,
 C66        , Grenade,338,8840.9999999998,9178.9999999998,,0.475,,0,#DIV/0!,,
 C67        , Grenadia(fruit de passion),3643,138570.989999992,142213.989999992,,20.985,,0,#DIV/0!,,
 C68        , Autres fruits à pépins et à noyau(Grenadine Grenade...),3145,95570,98715,,4.505,,0,#DIV/0!,,
 C69        , Amandes,31608.9999999948,191348.069999965,222957.06999996,,9.21,,0,#DIV/0!,,
 C7         , Pois inconnu,589,3010,3599,,13231.1168999952,40000,30800,0.1168506494,,
 C70        , Noix de cajou(Anacardier),234322.99999997,554681.979999999,789004.979999969,,40.32,,0,#DIV/0!,,
 C71        , Autres Noix,5511,153390.999999992,158901.999999992,,21.6199999999,,0,#DIV/0!,,
 C72        , Arachides,2810.999999996,15637.999999994,18448.99999999,,19454.7097999963,,0,#DIV/0!,,
 C73        , Cocotiers,265165.999999992,6648924.64999963,6914090.64999962,,255.81985,,0,#DIV/0!,,
 C74        , Autres cultures oléagineux(Tournessol palmier à huile roroli),1417400.82999994,727075.9999992,2144476.82999914,,345.255,,0,#DIV/0!,,
 C75        , Café,524403,10203645.1499998,10728048.1499998,,7418.7399999999,1300,1001,10717.3308191806,,
 C76        , Cacao,36736,2848890.93,2885626.93,,1925.105,,0,#DIV/0!,,
 C77        , Autres cultures pour boissons,1038,2586,3624,,4.255,,0,#DIV/0!,,
 C78        , Piments(capsicum spp.),7511.02,24748.9999999996,32260.0199999996,,1517.695949998,20000,15400,2.0948064935,,
 C79        , Gingembre,669,6401,7070,,326.49,,0,#DIV/0!,,
 C8         , Autres cultures légumineuses(Pois tendre pois France),4865.9999999999,4323,9188.9999999999,,2334.565,40000,30800,0.2983441558,,
 C80        , Autres épices(Poivres...),4822,7758,12580,,26.74,,0,#DIV/0!,,
 C81        , Canne à sucre,136541,4233766.8299999,4370307.8299999,,12317.1347998233,,0,#DIV/0!,,
 C82        , Floriculture-culture,14695,8392,23087,,27.36,,0,#DIV/0!,,
 C83        , Pépinières plantes ornementales,4058,1177,5235,,4.66,,0,#DIV/0!,,
 C84        , Pépinières pour culture,8886,8374,17260,,18.6192,,0,#DIV/0!,,
 C85        , Thym,308,5561,5869,,174.385,,0,#DIV/0!,,
 C86        , Vétiver,10342.9999999999,25737,36079.9999999999,,363.085,,0,#DIV/0!,,
 C87        , Autres cultures médicinalesaromatiques(Citronnelle Basilic menthe),18161.24,7588.05,25749.29,,9.95,,0,#DIV/0!,,
 C88        , Cultures Herbacées et autres cultures fourragères,16980,7733,24713,,87.295,,0,#DIV/0!,,
 C89        , Cultures Textiles (Sisalcoton...),41033.9999999985,18505.9999999998,59539.9999999983,,73.69,,0,#DIV/0!,,
 C9         , Choux,1772,3124.9999999997,4896.9999999997,,2724.64325,10000,7700,0.635974026,,
 C90        , Roseaux,18989.0499999999,9865.999999993,28855.0499999929,,20.55,,0,#DIV/0!,,
 C91        , Tabac,1578,8707,10285,,539.0149999997,,0,#DIV/0!,,
 C92        , Autres Cultures(Roucou....),6067.95,27364,33431.95,,14.495,,0,#DIV/0!,,
 C93        , Jachères temporaires,1592.02,1921,3513.02,,1831.2914499997,,0,#DIV/0!,,
 C94        , Jachères permanentes,552,1062,1614,,11973.4504499941,,0,#DIV/0!,,
 C95        , Bâtiments,2041,6602.01,8643.01,,3908.1429499985,,0,#DIV/0!,,
 C96        , Terrains incultes,1031,604,1635,,82.42,,0,#DIV/0!,,
 C97        , Retenue d'eau,1396,264,1660,,21.385,,0,#DIV/0!,,
 C98        , Forêt,16965956.0599966,702629.769999952,17668585.8299966,,2069.396149999,,0,#DIV/0!,,
 C99        , Non renseigné,3684,809,4493,,4.98,,0,#DIV/0!,,
            ,,24499196,120297364,144796560,,,,0,#DIV/0!,,
(101 rows),,,,,,,,,,,
